PMID,TI,JT
26481928,"Abacavir, zidovudine, or stavudine as paediatric tablets for African HIV-infected children (CHAPAS-3): an open-label, parallel-group, randomised controlled trial.",The Lancet. Infectious diseases
26467581,Diagnostic accuracy of tuberculin skin test self-reading by HIV patients in a low-resource setting.,The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease
26459335,Longitudinal adherence to antiretroviral drugs for preventing mother-to-child transmission of HIV in Zambia.,BMC pregnancy and childbirth
26433396,Outcomes of prevention of mother to child transmission of the human immunodeficiency virus-1 in rural Kenya--a cohort study.,BMC public health
26424542,"Estimation of mortality among HIV-infected people on antiretroviral treatment in East Africa: a sampling based approach in an observational, multisite, cohort study.",The lancet. HIV
26424232,Partner-based adherence intervention for second-line antiretroviral therapy (ACTG A5234): a multinational randomised trial.,The lancet. HIV
26423550,"Age in antiretroviral therapy programmes in South Africa: a retrospective, multicentre, observational cohort study.",The lancet. HIV
26423252,Monitoring and switching of first-line antiretroviral therapy in adult treatment cohorts in sub-Saharan Africa: collaborative analysis.,The lancet. HIV
26418737,Evolution of Extensively Drug-Resistant Tuberculosis over Four Decades: Whole Genome Sequencing and Dating Analysis of Mycobacterium tuberculosis Isolates from KwaZulu-Natal.,PLoS medicine
26414430,High Prevalence of HIV Low Abundance Drug-Resistant Variants in a Treatment-Naive Population in North Rift Kenya.,AIDS research and human retroviruses
26405784,"Evaluation of Cervical Cancer Screening Programs in Cote d'Ivoire, Guyana, and Tanzania: Effect of HIV Status.",PloS one
26375466,Use of a Comprehensive HIV Care Cascade for Evaluating HIV Program Performance: Findings From 4 Sub-Saharan African Countries.,Journal of acquired immune deficiency syndromes (1999)
26374100,Kaposi's sarcoma: a 10-year experience with 248 patients at a single tertiary care hospital in Tanzania.,BMC research notes
26368824,Continued Follow-Up of Phambili Phase 2b Randomized HIV-1 Vaccine Trial Participants Supports Increased HIV-1 Acquisition among Vaccinated Men.,PloS one
26358856,"Predictors of mortality and treatment success during treatment for rifampicin-resistant tuberculosis within the South African National TB Programme, 2009 to 2011: a cohort analysis of the national case register.",International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases
26330223,Tuberculosis retreatment 'others' in comparison with classical retreatment cases; a retrospective cohort review.,BMC public health
26316598,The Impact of Different CD4 Cell-Count Monitoring and Switching Strategies on Mortality in HIV-Infected African Adults on Antiretroviral Therapy: An Application of Dynamic Marginal Structural Models.,American journal of epidemiology
26313752,Can We Predict Oral Antibiotic Treatment Failure in Children with Fast-Breathing Pneumonia Managed at the Community Level? A Prospective Cohort Study in Malawi.,PloS one
26287397,"Long-term outcomes of a pediatric HIV treatment program in Maputo, Mozambique: a cohort study.",Global health action
26285704,The effect of standard dose multivitamin supplementation on disease progression in HIV-infected adults initiating HAART: a randomized double blind placebo-controlled trial in Uganda.,BMC infectious diseases
26278724,On the front line of HIV virological monitoring: barriers and facilitators from a provider perspective in resource-limited settings.,AIDS care
26248378,Pharmacokinetics of Antituberculosis Drugs in HIV-Positive and HIV-Negative Adults in Malawi.,Antimicrobial agents and chemotherapy
26247894,"Implementation and Operational Research: Risk Factors of Loss to Follow-up Among HIV-Positive Pediatric Patients in Dar es Salaam, Tanzania.",Journal of acquired immune deficiency syndromes (1999)
26242667,Outcomes of TB/HIV co-infected patients presenting with antituberculosis drug-induced liver injury.,South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde
26240203,Pretreatment HIV drug resistance increases regimen switches in sub-Saharan Africa.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America
26239760,Implementation challenges of a TB programme in rural northern mozambique: evaluation of 2012-2013 outcomes.,Pathogens and global health
26216221,Quality of life in patients treated with first-line antiretroviral therapy containing nevirapine or efavirenz in Uganda: a prospective non-randomized study.,BMC health services research
26208630,Paediatric HIV treatment failure: a silent epidemic.,Journal of the International AIDS Society
26181813,Implementation and Operational Research: Integration of PMTCT and Antenatal Services Improves Combination Antiretroviral Therapy Uptake for HIV-Positive Pregnant Women in Southern Zambia: A Prototype for Option B+?,Journal of acquired immune deficiency syndromes (1999)
26165322,Mortality and loss to follow-up among HIV-infected persons on long-term antiretroviral therapy in Latin America and the Caribbean.,Journal of the International AIDS Society
26162365,Treatment of drug-resistant tuberculosis with bedaquiline in a high HIV prevalence setting: an interim cohort analysis.,The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease
26156025,Test characteristics and potential impact of the urine LAM lateral flow assay in HIV-infected outpatients under investigation for TB and able to self-expectorate sputum for diagnostic testing.,BMC infectious diseases
26151752,"Trends in Prevalence of HIV-1 Drug Resistance in a Public Clinic in Maputo, Mozambique.",PloS one
26147598,"Missed Opportunities along the Prevention of Mother-to-Child Transmission Services Cascade in South Africa: Uptake, Determinants, and Attributable Risk (the SAPMTCTE).",PloS one
26141729,"Determinants of loss to follow-up in patients on antiretroviral treatment, South Africa, 2004-2012: a cohort study.",BMC health services research
26135327,Pooled Nucleic Acid Testing to Detect Antiretroviral Treatment Failure in HIV-Infected Patients in Mozambique.,Journal of acquired immune deficiency syndromes (1999)
26110445,Duration of Antiretroviral Therapy Adherence Interruption Is Associated With Risk of Virologic Rebound as Determined by Real-Time Adherence Monitoring in Rural Uganda.,Journal of acquired immune deficiency syndromes (1999)
26090021,Effects of highly active antiretroviral therapy on the survival of HIV-infected adult patients in urban slums of Kenya.,The Pan African medical journal
26084302,Determinants of virological failure and antiretroviral drug resistance in Mozambique.,The Journal of antimicrobial chemotherapy
26081970,"The availability of essential medicines for mental healthcare in Sofala, Mozambique.",Global health action
26079842,Effect of Community Support Agents on Retention of People Living With HIV in Pre-antiretroviral Care: A Randomized Controlled Trial in Eastern Uganda.,Journal of acquired immune deficiency syndromes (1999)
26068719,Implementation and Operational Research: Expedited Results Delivery Systems Using GPRS Technology Significantly Reduce Early Infant Diagnosis Test Turnaround Times.,Journal of acquired immune deficiency syndromes (1999)
26028156,Excellent clinical outcomes and retention in care for adults with HIV-associated Kaposi sarcoma treated with systemic chemotherapy and integrated antiretroviral therapy in rural Malawi.,Journal of the International AIDS Society
26011158,"Durable Suppression of HIV-1 after Virologic Monitoring-Based Antiretroviral Adherence Counseling in Rakai, Uganda.",PloS one
26009836,Implementation and Operational Research: Correlates of Adherence and Treatment Failure Among Kenyan Patients on Long-term Highly Active Antiretroviral Therapy.,Journal of acquired immune deficiency syndromes (1999)
26001044,Finger Prick Dried Blood Spots for HIV Viral Load Measurement in Field Conditions in Zimbabwe.,PloS one
25993636,Successful Tuberculosis Treatment Outcomes among HIV/TB Coinfected Patients Down-Referred from a District Hospital to Primary Health Clinics in Rural South Africa.,PloS one
25979526,"Programmatic treatment outcomes in HIV-infected and uninfected drug-resistant TB patients in Khayelitsha, South Africa.",Transactions of the Royal Society of Tropical Medicine and Hygiene
25979373,Clinical versus laboratory screening for sexually transmitted infections prior to insertion of intrauterine contraception among women living with HIV/AIDS: a randomized controlled trial.,"Human reproduction (Oxford, England)"
25975868,"Cost per patient of treatment for rifampicin-resistant tuberculosis in a community-based programme in Khayelitsha, South Africa.",Tropical medicine & international health : TM & IH
25962952,Medication Adherence Clubs: a potential solution to managing large numbers of stable patients with multiple chronic diseases in informal settlements.,Tropical medicine & international health : TM & IH
25957077,Incidence and predictors of attrition from antiretroviral care among adults in a rural HIV clinic in Coastal Kenya: a retrospective cohort study.,BMC public health
25955836,Temporal Trends in Patient Characteristics and Outcomes Among Children Enrolled in Mozambique's National Antiretroviral Therapy Program.,The Pediatric infectious disease journal
25953961,"Retention, transfer out and loss to follow-up two years after delivery in a cohort of HIV+ pregnant women in Malawi.",International journal of STD & AIDS
25947544,"Very early virological failure and drug resistance mutations in a woman on antiretroviral therapy in Eastern Cape, South Africa: a case report.",Journal of medical case reports
25942466,"Implementation and Operational Research: Evaluation of Loss-to-Follow-up and Postoperative Adverse Events in a Voluntary Medical Male Circumcision Program in Nyanza Province, Kenya.",Journal of acquired immune deficiency syndromes (1999)
25942461,Retention of Adult Patients on Antiretroviral Therapy in Low- and Middle-Income Countries: Systematic Review and Meta-analysis 2008-2013.,Journal of acquired immune deficiency syndromes (1999)
25941055,"Evaluation of patient care cascade for HIV-positive patients diagnosed in La Romana, Dominican Republic in 2011: a retrospective cohort study.",International journal of STD & AIDS
25938501,Integrating Community-Based Interventions to Reverse the Convergent TB/HIV Epidemics in Rural South Africa.,PloS one
25933356,Factors Associated with Timing of Initiation of Antiretroviral Therapy among HIV-1 Infected Adults in the Niger Delta Region of Nigeria.,PloS one
25909750,"Rapid emergence of multidrug resistant, H58-lineage Salmonella typhi in Blantyre, Malawi.",PLoS neglected tropical diseases
25889238,Ten-year surgical experiences with penile cancer at a tertiary care hospital in northwestern Tanzania: a retrospective study of 236 patients.,World journal of surgical oncology
25884699,Supporting close-to-community providers through a community health system approach: case examples from Ethiopia and Tanzania.,Human resources for health
25870982,Cost-effectiveness of first-line antiretroviral therapy for HIV-infected African children less than 3 years of age.,"AIDS (London, England)"
25849558,Tuberculosis prevention in South Africa.,PloS one
25849352,Geographic and temporal trends in the molecular epidemiology and genetic mechanisms of transmitted HIV-1 drug resistance: an individual-patient- and sequence-level meta-analysis.,PLoS medicine
25782332,Is zidovudine first-line therapy virologically comparable to tenofovir in resource-limited settings?,Tropical medicine & international health : TM & IH
25781323,Reassessment of HIV-1 acute phase infectivity: accounting for heterogeneity and study design with simulated cohorts.,PLoS medicine
25779383,Immunological failure of first-line and switch to second-line antiretroviral therapy among HIV-infected persons in Tanzania: analysis of routinely collected national data.,Tropical medicine & international health : TM & IH
25778753,Pharmacodynamic Modeling of Bacillary Elimination Rates and Detection of Bacterial Lipid Bodies in Sputum to Predict and Understand Outcomes in Treatment of Pulmonary Tuberculosis.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America
25775161,A pharmacogenetics study in Mozambican patients treated with nevirapine: full resequencing of TRAF3IP2 gene shows a novel association with SJS/TEN susceptibility.,International journal of molecular sciences
25765698,"Cryptococcal meningitis screening and community-based early adherence support in people with advanced HIV infection starting antiretroviral therapy in Tanzania and Zambia: an open-label, randomised controlled trial.","Lancet (London, England)"
25754408,"Characterization of HIV drug resistance mutations among patients failing first-line antiretroviral therapy from a tertiary referral center in Lusaka, Zambia.",Journal of medical virology
25742076,Barriers to successful early infant diagnosis of HIV infection at primary care level in Malawi.,The Pediatric infectious disease journal
25726836,Prevention of mother-to-child transmission of HIV in rural Uganda: modelling effectiveness and impact of scaling-up PMTCT services.,Global health action
25725240,Transplantation in resource-limited setting: using HIV-positive donors for HIV-positive patients.,Clinical nephrology
25721379,"Hyperferritinemia and markers of inflammation and oxidative stress in the cord blood of HIV-exposed, uninfected (HEU) infants.",HIV medicine
25712590,Risk of death among those awaiting treatment for HIV infection in Zimbabwe: adolescents are at particular risk.,Journal of the International AIDS Society
25706518,"Improvement in mortality and retention among adult HIV-infected patients in the first 12 months of antiretroviral therapy in Dodoma urban district, Tanzania.",Tropical medicine & international health : TM & IH
25692336,Implementation and operational research: evaluating outcomes of patients lost to follow-up in a large comprehensive care treatment program in western Kenya.,Journal of acquired immune deficiency syndromes (1999)
25689352,"Evaluation of screening and treatment of cryptococcal antigenaemia among HIV-infected persons in Soweto, South Africa.",HIV medicine
25671253,HIV-positive-to-HIV-positive kidney transplantation--results at 3 to 5 years.,The New England journal of medicine
25659108,High prevalence of the K65R mutation in HIV-1 subtype C infected patients failing tenofovir-based first-line regimens in South Africa.,PloS one
25658921,Low resistance to first and second line anti-tuberculosis drugs among treatment naive pulmonary tuberculosis patients in southwestern Uganda.,PloS one
25656597,"Delays, interruptions, and losses from prevention of mother-to-child transmission of HIV services during antenatal care in Johannesburg, South Africa: a cohort analysis.",BMC infectious diseases
25647529,Outcomes Up to 12 Months After Treatment With Loop Electrosurgical Excision Procedure for Cervical Intraepithelial Neoplasia Among HIV-Infected Women.,Journal of acquired immune deficiency syndromes (1999)
25604496,Clinical associations of white matter damage in cART-treated HIV-positive children in South Africa.,Journal of neurovirology
25592254,Safe and efficacious artemisinin-based combination treatments for African pregnant women with malaria: a multicentre randomized control trial.,Reproductive health
25585301,Risk factors and mortality associated with resistance to first-line antiretroviral therapy: multicentric cross-sectional and longitudinal analyses.,Journal of acquired immune deficiency syndromes (1999)
25564107,Population-based surveillance of HIV drug resistance emerging on treatment and associated factors at sentinel antiretroviral therapy sites in Namibia.,Journal of acquired immune deficiency syndromes (1999)
25555099,Mobile health for early retention in HIV care: a qualitative study in Kenya (WelTel Retain).,African journal of AIDS research : AJAR
25523472,The Mycobacterium tuberculosis Uganda II family and resistance to first-line anti-tuberculosis drugs in Uganda.,BMC infectious diseases
25493599,Characteristics and outcomes of HIV-infected youth and young adolescents enrolled in HIV care in Kenya.,"AIDS (London, England)"
25491351,Increasing the use of second-line therapy is a cost-effective approach to prevent the spread of drug-resistant HIV: a mathematical modelling study.,Journal of the International AIDS Society
25487529,"HIV type 1 drug resistance patterns among patients failing first and second line antiretroviral therapy in Nairobi, Kenya.",BMC research notes
25486414,The epidemiological impact of HIV antiretroviral therapy on malaria in children.,"AIDS (London, England)"
25465206,Inpatient mortality of HIV-infected adults in sub-Saharan Africa and possible interventions: a mixed methods review.,BMC health services research
25436824,Family matters: Co-enrollment of family members into care is associated with improved outcomes for HIV-infected women initiating antiretroviral therapy.,Journal of acquired immune deficiency syndromes (1999)
25426940,The combination of pill count and self-reported adherence is a strong predictor of first-line ART failure for adults in South Africa.,Current HIV research
25418366,Self-transfer and mortality amongst adults lost to follow-up in ART programmes in low- and middle-income countries: systematic review and meta-analysis.,Tropical medicine & international health : TM & IH
25413893,HIV diversity and drug resistance from plasma and non-plasma analytes in a large treatment programme in western Kenya.,Journal of the International AIDS Society
25391338,"CryptoDex: a randomised, double-blind, placebo-controlled phase III trial of adjunctive dexamethasone in HIV-infected adults with cryptococcal meningitis: study protocol for a randomised control trial.",Trials
25389777,"Multi-country analysis of treatment costs for HIV/AIDS (MATCH): facility-level ART unit cost analysis in Ethiopia, Malawi, Rwanda, South Africa and Zambia.",PloS one
25381732,Two-year death and loss to follow-up outcomes by source of referral to HIV care for HIV-infected patients initiating antiretroviral therapy in rural Mozambique.,AIDS research and human retroviruses
25378741,Drug resistance of Mycobacterium tuberculosis in Malawi: a cross-sectional survey.,Bulletin of the World Health Organization
25377362,"""It is all about the fear of being discriminated [against]...the person suffering from HIV will not be accepted"": a qualitative study exploring the reasons for loss to follow-up among HIV-positive youth in Kisumu, Kenya.",BMC public health
25373425,Durability of antiretroviral therapy and predictors of virologic failure among perinatally HIV-infected children in Tanzania: a four-year follow-up.,BMC infectious diseases
25372479,"A systematic review of individual and contextual factors affecting ART initiation, adherence, and retention for HIV-infected pregnant and postpartum women.",PloS one
25361827,"The relation between efavirenz versus nevirapine and virologic failure in Johannesburg, South Africa.",Journal of the International AIDS Society
25352226,Strategies of testing for syphilis during pregnancy.,The Cochrane database of systematic reviews
25330113,Poor clinical outcomes for HIV infected children on antiretroviral therapy in rural Mozambique: need for program quality improvement and community engagement.,PloS one
25323793,Drug resistance mutations from whole blood proviral DNA among patients on antiretroviral drugs in Zimbabwe.,Current HIV research
25313586,Texting improves testing: a randomized trial of two-way SMS to increase postpartum prevention of mother-to-child transmission retention and infant HIV testing.,"AIDS (London, England)"
25300623,Minority HIV-1 drug-resistant mutations and prevention of mother-to-child transmission: perspectives for resource-limited countries.,AIDS reviews
25290340,Cost-effectiveness of HIV drug resistance testing to inform switching to second line antiretroviral therapy in low income settings.,PloS one
25254378,Improving validity of informed consent for biomedical research in Zambia using a laboratory exposure intervention.,PloS one
25244155,Impact of systematic HIV testing on case finding and retention in care at a primary care clinic in South Africa.,Tropical medicine & international health : TM & IH
25227621,"Retention and risk factors for attrition among adults in antiretroviral treatment programmes in Tanzania, Uganda and Zambia.",Tropical medicine & international health : TM & IH
25214052,"Assessing adherence to the 2010 antiretroviral guidelines at the antiretroviral rollout clinic in 1 military hospital, South Africa: a retrospective, cross sectional study.",South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde
25203931,"Mortality in patients with HIV-1 infection starting antiretroviral therapy in South Africa, Europe, or North America: a collaborative analysis of prospective studies.",PLoS medicine
25186245,Molecular detection and characterization of resistant genes in Mycobacterium tuberculosis complex from DNA isolated from tuberculosis patients in the Eastern Cape province South Africa.,BMC infectious diseases
25163753,"Continuous free access to HAART could be one of the potential factors impacting on loss to follow-up in HAART-eligible patients living in a resource-limited setting: N'djamena, Chad.",Transactions of the Royal Society of Tropical Medicine and Hygiene
25143579,Limited utility of dried-blood- and plasma spot-based screening for antiretroviral treatment failure with Cobas Ampliprep/TaqMan HIV-1 version 2.0.,Journal of clinical microbiology
25140907,Oligonucleotide ligation assay detects HIV drug resistance associated with virologic failure among antiretroviral-naive adults in Kenya.,Journal of acquired immune deficiency syndromes (1999)
25131801,CD4 trajectory adjusting for dropout among HIV-positive patients receiving combination antiretroviral therapy in an East African HIV care centre.,Journal of the International AIDS Society
25124078,Evaluation of treatment outcomes for patients on first-line regimens in US President's Emergency Plan for AIDS Relief (PEPFAR) clinics in Uganda: predictors of virological and immunological response from RV288 analyses.,HIV medicine
25122853,Poor performance of the determine HIV-1/2 Ag/Ab combo fourth-generation rapid test for detection of acute infections in a National Household Survey in Swaziland.,Journal of clinical microbiology
25122578,Antiretroviral treatment failure predicts mortality in rural Tanzania.,International journal of STD & AIDS
25118796,Preventing tuberculosis among HIV-infected pregnant women in Lesotho: the case for rolling out active case finding and isoniazid preventive therapy.,Journal of acquired immune deficiency syndromes (1999)
25117964,Observational research on NCDs in HIV-positive populations: conceptual and methodological considerations.,Journal of acquired immune deficiency syndromes (1999)
25104635,Outcomes of the Botswana national HIV/AIDS treatment programme from 2002 to 2010: a longitudinal analysis.,The Lancet. Global health
25104262,Abbreviated HIV counselling and testing and enhanced referral to care in Uganda: a factorial randomised controlled trial.,The Lancet. Global health
25100867,Hepatitis B virus sub-genotype A1 infection is characterized by high replication levels and rapid emergence of drug resistance in HIV-positive adults receiving first-line antiretroviral therapy in Malawi.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America
25096897,Patient loss to follow-up before antiretroviral therapy initiation in rural Mozambique.,AIDS and behavior
25085449,Hepatocellular carcinoma: clinicopathological profile and challenges of management in a resource-limited setting.,World journal of surgical oncology
25076493,Can male circumcision have an impact on the HIV epidemic in men who have sex with men?,PloS one
25075743,Characteristics and outcomes among older HIV-positive adults enrolled in HIV programs in four sub-Saharan African countries.,PloS one
25068287,Prevalence of lipodystrophy and metabolic abnormalities in HIV-infected African children after 3 years on first-line antiretroviral therapy.,The Pediatric infectious disease journal
25041716,Outcomes of a nurse-managed service for stable HIV-positive patients in a large South African public sector antiretroviral therapy programme.,Tropical medicine & international health : TM & IH
25037488,Gender-specific risk factors for virologic failure in KwaZulu-Natal: automobile ownership and financial insecurity.,AIDS and behavior
25035943,Preferential adherence to antiretroviral therapy over tuberculosis treatment: a qualitative study of drug-resistant TB/HIV co-infected patients in South Africa.,Global public health
25032486,Cost-effectiveness of socioeconomic support as part of HIV care for the poor in an urban community-based antiretroviral program in Uganda.,Journal of acquired immune deficiency syndromes (1999)
25022294,"Clinical and virological response to antiretroviral drugs among HIV patients on first-line treatment in Dar-es-Salaam, Tanzania.",Journal of infection in developing countries
25014688,Assessment of second-line antiretroviral regimens for HIV therapy in Africa.,The New England journal of medicine
25012423,"Outcomes, feasibility and acceptability of a group support psychotherapeutic intervention for depressed HIV-affected Ugandan adults: a pilot study.",Journal of affective disorders
24998881,"Age at antiretroviral therapy initiation predicts immune recovery, death, and loss to follow-up among HIV-infected adults in urban Zambia.",AIDS research and human retroviruses
24990360,"Quality of life in individuals living with HIV/AIDS attending a public sector antiretroviral service in Cape Town, South Africa.",BMC public health
24977728,"Decentralization of HIV care and treatment services in Central Province, Kenya.",Journal of acquired immune deficiency syndromes (1999)
24977440,Delayed switch of antiretroviral therapy after virologic failure associated with elevated mortality among HIV-infected adults in Africa.,"AIDS (London, England)"
24977376,"""What they wanted was to give birth; nothing else"": barriers to retention in option B+ HIV care among postpartum women in South Africa.",Journal of acquired immune deficiency syndromes (1999)
24960272,Genetic diversity in HIV-1 subtype C LTR from Brazil and Mozambique generates new transcription factor-binding sites.,Viruses
24960249,Prevalence and virologic consequences of transmitted HIV-1 drug resistance in Uganda.,AIDS research and human retroviruses
24940321,"Causes and outcome of hospitalization among HIV-infected adults receiving antiretroviral therapy in Mulago hospital, Uganda.",African health sciences
24909578,"Efficacy of sulphadoxine-pyrimethamine for intermittent preventive treatment of malaria in pregnancy, Mansa, Zambia.",Malaria journal
24906641,Measures of viral load using Abbott RealTime HIV-1 Assay on venous and fingerstick dried blood spots from provider-collected specimens in Malawian District Hospitals.,Journal of clinical virology : the official publication of the Pan American Society for Clinical Virology
24903940,Double-dose lopinavir-ritonavir in combination with rifampicin-based anti-tuberculosis treatment in South Africa.,The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease
24902552,Tuberculosis incidence and treatment completion among Ugandan prison inmates.,The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease
24902550,Trends in childhood drug-resistant tuberculosis in South Africa: a window into the wider epidemic?,The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease
24898272,"Four-year retention and risk factors for attrition among members of community ART groups in Tete, Mozambique.",Tropical medicine & international health : TM & IH
24885420,The challenge to avoid anti-malarial medicine stock-outs in an era of funding partners: the case of Tanzania.,Malaria journal
24872138,Adherence in the treatment of patients with extensively drug-resistant tuberculosis and HIV in South Africa: a prospective cohort study.,Journal of acquired immune deficiency syndromes (1999)
24809736,Totally drug-resistant tuberculosis and adjunct therapies.,Journal of internal medicine
24798614,Short communication: east meets west: a description of HIV-1 drug resistance mutation patterns of patients failing first line therapy in PEPFAR clinics from Uganda and Nigeria.,AIDS research and human retroviruses
24798428,"Depressive symptoms, HIV medication adherence, and HIV clinical outcomes in Tanzania: a prospective, observational study.",PloS one
24795328,Drug susceptibility and resistance mutations after first-line failure in resource limited settings.,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America
24789197,Viral load detection using dried blood spots in a cohort of HIV-1-infected children in Uganda: correlations with clinical and immunological criteria for treatment failure.,Journal of clinical microbiology
24788658,Drug resistance in the HIV-1-infected paediatric population worldwide: a systematic review.,The Journal of antimicrobial chemotherapy
24785949,Drug resistance among newly diagnosed HIV-infected children in the era of more efficacious antiretroviral prophylaxis.,"AIDS (London, England)"
26867253,Factors influencing treatment failure in HIV positive adult patients on first line antiretroviral therapy.,The Central African journal of medicine
24755603,National profile and treatment outcomes of patients with extrapulmonary tuberculosis in Benin.,PloS one
24732870,Clinical impact and cost-effectiveness of making third-line antiretroviral therapy available in sub-Saharan Africa: a model-based analysis in Cote d'Ivoire.,Journal of acquired immune deficiency syndromes (1999)
24725750,Monitoring prevention or emergence of HIV drug resistance: results of a population-based foundational survey of early warning indicators in mainland Tanzania.,BMC infectious diseases
24717628,Global control of tuberculosis: from extensively drug-resistant to untreatable tuberculosis.,The Lancet. Respiratory medicine
24717189,"High attrition among HIV-infected patients with advanced disease treated in an intermediary referral center in Maputo, Mozambique.",Global health action
24714445,Uptake of prevention of mother-to-child-transmission using Option B+ in northern rural Malawi: a retrospective cohort study.,Sexually transmitted infections
24708645,Drug resistance in HIV patients with virological failure or slow virological response to antiretroviral therapy in Ethiopia.,BMC infectious diseases
24691679,Clinical assessment of peripheral neuropathy in HIV-infected children on antiretroviral therapy in rural South Africa.,European journal of pediatrics
24684772,"Retention in care, resource utilization, and costs for adults receiving antiretroviral therapy in Zambia: a retrospective cohort study.",BMC public health
24680820,"Incidence and predictors of herpes zoster among antiretroviral therapy-naive patients initiating HIV treatment in Johannesburg, South Africa.",International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases
26859028,"FACTORS INFLUENCING ADHERENCE TO ARVS AMONG PATIENTS ATTENDING COMPREHENSIVE CARE CLINIC WITHIN JOMO KENYATTA UNIVERSITY OF AGRICULTURE AND TECHNOLOGY, KIAMBU COUNTY, KENYA.",East African medical journal
24670700,"Community-based treatment of drug-resistant tuberculosis in Khayelitsha, South Africa.",The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease
24670569,The influence of integrated tuberculosis and human immunodeficiency virus service delivery on patient outcomes.,The international journal of tuberculosis and lung disease : the official journal of the International Union against Tuberculosis and Lung Disease
